Movie Report
------------

Frame #    Frame Bytes    Total Bytes    Page
-------    -----------    -----------    ---------------
    1         62505          62505        Scene 1
    2            25          62530          2
    3          8349          70879          3
    4            21          70900          4
    5          9020          79920          5
    6            21          79941          6
    7            28          79969          7
    8            21          79990          8
    9            28          80018          9
   10            80          80098          10
   11             9          80107          11
   12             2          80109          12
   13             9          80118          13
   14             2          80120          14
   15             9          80129          15
   16             2          80131          16
   17             9          80140          17
   18             2          80142          18
   19            78          80220          19
   20            21          80241          20
   21            28          80269          21
   22            21          80290          22
   23            28          80318          23
   24            21          80339          24
   25            28          80367          25
   26            21          80388          26
   27            28          80416          27
   28             8          80424          28
   29            13          80437          29
   30             2          80439          30
   31             9          80448          31
   32             2          80450          32
   33            79          80529          33
   34            21          80550          34
   35            28          80578          35
   36            21          80599          36
   37            28          80627          37
   38            17          80644          38
   39            28          80672          39
   40            21          80693          40
   41            28          80721          41
   42            21          80742          42
   43            15          80757          43
   44            70          80827          44
   45            28          80855          45
   46            21          80876          46
   47            24          80900          47
   48            21          80921          48
   49            28          80949          49
   50            11          80960          50
   51            17          80977          51
   52             2          80979          52
   53             9          80988          53
   54             2          80990          54
   55             9          80999          55
   56             2          81001          56
   57             9          81010          57
   58             2          81012          58
   59             9          81021          59
   60             2          81023          60
   61             9          81032          61
   62             2          81034          62
   63             9          81043          63
   64             2          81045          64
   65             9          81054          65
   66             2          81056          66
   67             9          81065          67
   68             2          81067          68
   69             9          81076          69
   70             2          81078          70
   71             9          81087          71
   72             2          81089          72
   73             9          81098          73
   74             2          81100          74
   75             9          81109          75
   76             2          81111          76
   77             9          81120          77
   78             2          81122          78
   79             9          81131          79
   80             2          81133          80
   81             9          81142          81
   82             2          81144          82
   83             9          81153          83
   84             2          81155          84
   85             9          81164          85
   86             2          81166          86
   87             9          81175          87
   88             2          81177          88
   89             9          81186          89
   90             2          81188          90
   91             9          81197          91
   92             2          81199          92
   93             9          81208          93
   94             2          81210          94
   95             9          81219          95
   96             2          81221          96
   97             9          81230          97
   98             2          81232          98
   99             9          81241          99
  100             2          81243          100
  101             9          81252          101
  102             2          81254          102
  103             9          81263          103
  104             2          81265          104
  105             9          81274          105
  106             2          81276          106
  107             9          81285          107
  108             2          81287          108
  109             9          81296          109
  110             2          81298          110
  111             9          81307          111
  112             2          81309          112
  113             9          81318          113
  114             2          81320          114
  115             9          81329          115
  116             2          81331          116
  117             9          81340          117
  118             2          81342          118
  119             9          81351          119
  120             2          81353          120
  121             9          81362          121
  122             2          81364          122
  123             9          81373          123
  124             2          81375          124
  125             9          81384          125
  126            10          81394          126
  127            23          81417          127
  128            17          81434          128
  129            24          81458          129
  130            17          81475          130
  131            25          81500          131
  132            18          81518          132
  133            17          81535          133
  134             9          81544          134
  135             9          81553          135
  136             2          81555          136
  137             9          81564          137
  138             2          81566          138
  139             9          81575          139
  140             2          81577          140
  141             9          81586          141
  142             2          81588          142
  143             9          81597          143
  144             2          81599          144
  145            10          81609          145
  146             2          81611          146
  147             2          81613          147
  148             2          81615          148
  149             2          81617          149
  150             2          81619          150
  151             2          81621          151
  152             2          81623          152
  153             2          81625          153
  154             2          81627          154
  155             2          81629          155
  156             2          81631          156
  157             2          81633          157
  158             2          81635          158
  159             2          81637          159
  160             2          81639          160
  161             2          81641          161
  162             2          81643          162
  163             2          81645          163
  164             2          81647          164
  165             2          81649          165
  166             2          81651          166
  167             2          81653          167
  168             2          81655          168
  169             2          81657          169
  170            48          81705          170

Page                       Shape Bytes    Text Bytes
-----------------------    -----------    ----------
Scene 1                           0             0

Embedded Objects                594             0

Symbol                     Shape Bytes    Text Bytes
-----------------------    -----------    ----------
Symbol 6                          0             0

Bitmap                     Compressed  Original    Compression
-----------------------    ----------  ----------  ------------
Bitmap 30                       8951       11664   JPEG Quality=100
Bitmap 29                       8279       11664   JPEG Quality=100
porthole.jpg                    8928       46224   Lossless
01_2big.gif                     9490       11664   JPEG Quality=100
logo.gif                       12730       13224   JPEG Quality=100
porthole.gif                    8225       15748   JPEG Quality=100
i.jpg                          22760       46224   Lossless
